13.3,348.4
13.08,353.1
11.34,354.2
13.42,353.1
10.91,341.8
13.45,349.9
13.67,351.4
12.79,346.1
12.71,348.0
10.36,354.8
8.07,359.8
8.23,356.0
7.22,357.5
7.05,359.1
6.97,0.3
6.74,356.3
6.38,354.5
5.96,354.9
6.28,352.4
8.23,356.7
8.92,357.8
9.14,0.8
8.84,2.4
8.71,6.7
9.42,8.4
9.4,9.4
9.28,10.2
8.79,13.3
8.16,12.3
7.29,4.8
7.95,4.0
8.12,359.8
9.07,0.0
6.13,7.8
4.94,16.7
3.83,16.7
3.7,4.1
3.79,353.3
3.9,351.8
3.34,346.7
3.51,337.4
3.76,336.5
3.25,351.2
3.99,344.9
2.28,331.6
1.79,319.3
1.08,304.0
0.9,258.4
1.08,216.4
3.01,215.0
5.22,205.4
5.89,204.0
7.11,199.8
8.18,201.1
9.08,202.3
9.92,205.8
10.05,202.8
9.4,200.6
7.89,195.5
7.38,197.3
8.01,197.9
9.34,196.9
10.58,195.6
10.9,193.0
11.37,195.1
11.04,189.5
13.02,188.4
14.99,192.6
15.81,198.3
16.55,203.6
16.52,206.9
16.24,210.4
15.3,212.8
15.49,215.3
16.32,220.6
15.34,224.1
14.34,230.9
13.86,244.6
14.35,251.9
11.98,263.0
11.51,293.2
8.3,323.0
7.4,337.4
6.9,341.5
6.69,348.1
7.52,358.5
7.27,359.8
7.35,1.1
7.72,1.4
7.4,2.3
7.63,0.0
9.08,4.2
7.89,7.8
7.73,11.0
6.66,12.1
6.46,7.9
6.14,2.9
5.35,5.9
4.67,4.9
3.54,0.9
3.18,358.5
2.08,357.5
2.09,343.2
1.14,335.6
1.04,282.5
1.75,233.8
2.79,229.5
2.42,233.8
2.94,231.7
3.61,238.8
3.83,241.0
3.93,239.4
3.75,225.7
4.29,207.4
4.8,206.2
6.09,201.3
8.59,210.4
8.61,207.8
9.32,207.0
10.51,202.2
11.84,203.7
12.29,205.6
12.21,205.7
12.95,211.4
13.1,218.1
12.85,221.2
12.9,221.3
12.55,221.2
13.51,223.7
11.8,223.5
9.32,219.9
8.96,216.1
8.73,211.7
8.6,205.1
9.21,204.7
10.04,206.8
9.11,204.0
9.91,199.7
10.03,188.7
11.53,193.8
12.7,198.7
13.01,206.7
13.49,208.1
13.58,231.1
10.43,275.6
10.85,297.8
12.2,311.2
11.02,313.2
11.27,315.8
10.88,317.6
12.12,322.1
11.67,319.7
11.23,322.6
8.13,326.0
7.87,332.3
6.64,328.2
6.44,329.6
6.54,327.4
5.49,330.0
5.4,338.3
4.88,342.0
4.44,340.4
5.18,337.7
4.56,2.3
4.52,4.5
5.32,46.6
2.78,75.6
1.87,64.0
1.27,35.2
1.42,43.9
1.13,31.2
1.56,25.4
1.35,16.1
1.56,20.4
1.96,9.5
2.56,352.9
3.86,356.4
4.34,350.2
