"Dim1","Val"
"2010",4.49908300315143
"2012",2.75835308832431
"2014",4.01128221461297
"2016",2.06944849279468
"2018",2.52080331706647
"2020",1.64965073802786
"2022",3.1670862652378
"2024",2.93900733679409
"2026",3.05281754253149
"2028",3.1072702921946
"2030",3.50400433176686
"2035",3.81505011661697
"2040",4.14659816382955
"2045",4.20077621914851
"2050",4.41119231662992
