,SMR,CO2 hydrogenation,RCC no recycle,RCC recycle,RCC recycle,RCC recycle,RCC recycle,RCC recycle,RCC recycle,RCC recycle,RCC recycle,RCC recycle,RCC recycle,RCC no recycle,RCC recycle,RCC no recycle,RCC recycle,RCC no recycle,RCC recycle,RCC no recycle,RCC recycle,RCC recycle,RCC recycle,RCC recycle,RCC recycle,CO RCC,CO RCC,CO RCC,CO RCC,CO RCC,CO RCC,CO RCC,CO RCC,RCC DoE,RCC DoE,RCC DoE,RCC DoE,RCC DoE,RCC DoE,RCC DoE,RCC DoE,RCC DoE
,None,None,CZA Orig,CZA Orig,CZA Ads 1,CZA Ads 2,CZA Ads 3,CZA Sel 1,CZA Sel 2,CZA Sel 3,CZA H2C 1,CZA H2C 2,CZA H2C 3,CZA,CZA,Ca_CZA,Ca_CZA,K_CZA,K_CZA,Na_CZA,Na_CZA,K_CZA IWI,K_CZA MLD,Na_CZA IWI,Na_CZA MLD,ZA-Z,K_ZA-Z,ZA,K_ZA,Na_ZA,Na_ZA 30,Au-Na_ZA,Au-Na_ZA 30,Case 1a,Case 1b,Case 1c,Case 2a,Case 2b,Case 2c,Case 3a,Case 3b,Case 3c
0,0.0033292264003867123,0.004476399458057659,1.4600238285002576,0.004663052171609405,0.004663052171609405,0.004663052171609405,0.004663052171609405,0.005381552839363159,0.0034603007912544733,0.005645354891763592,0.005743171089837951,0.005964378763889766,0.00760396515888744,8.105767973307495,0.0002335504792254657,7.243202809204409,0.0010567570588179524,2.1833276227599687,0.00418091214344888,1.4521890867579275,0.006298099780894971,0.00418091214344888,0.00418091214344888,0.006298099780894971,0.006298099780894971,0.006305482931314091,0.0018696161330231209,0.0023048080670370927,0.0033779742217203024,0.009314127438591778,0.000491176401384185,0.005117807963928456,0.007298104002738064,0.0055324532298434564,0.004292740902404084,0.0041015242258565345,0.004232896612733004,0.0008643575303241639,0.0020112210201302383,0.0054428057099934765,0.00038506831935334793,0.004129901369291392
1,0.009027377313157087,0.35206771521312635,0.9027377313157084,0.6108525315236294,0.6108525315236294,0.6108525315236294,0.6108525315236294,0.5897886511262629,0.5717338964999488,0.550670016102582,0.5265970099341633,0.4543779914289065,0.3821589729236499,0.9027377313157084,0.631916411920996,0.9027377313157084,0.6228890346078388,0.9027377313157084,0.4603962429710113,0.9027377313157084,0.46942362028416834,0.4603962429710113,0.4603962429710113,0.46942362028416834,0.46942362028416834,0.532615261476268,0.5356243872473203,0.532615261476268,0.5416426387894251,0.5296061357052155,0.45738711719995906,0.532615261476268,0.8967194797736037,0.39720460177891176,0.34304033789996924,0.4122502306341736,0.4032228533210165,0.3731315956104928,0.499514877994692,0.4002137275499641,0.3550768409841787,0.4002137275499641
2,0.10245194764677105,0.11514247124347096,0.6410176872697505,0.2071686900520764,0.1349360475147247,0.09657253451472476,0.0717175928719337,0.20827353233561308,0.2092642467982092,0.21022850518947409,0.2071686900520764,0.2071686900520764,0.2071686900520764,-0.22209157021251363,0.203183271637491,-0.4486749888444628,0.14307513003079295,-0.2134231829030496,0.09491062533156205,-0.15206792614216216,0.08333328301551816,0.11954740933156202,0.11249294233156204,0.10540691501551816,0.10161654301551816,0.22238391074979705,0.09549323902237089,0.18486271365591872,0.0943917212400169,0.10632754922031484,3.3085025423530503,0.08792599233608653,0.06622315596171892,0.19198957678728895,0.2861782548481672,0.2566067587691824,0.1751902654641611,0.20152076260053803,0.22189415371952056,0.24499064405818535,0.2842850362587048,0.3561610046331226
3,0.001880183012489752,0.07812369600680201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.13703841656651347,0.013126722601039868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.011919526779084864,0.10064921866874256,0.26786807971721854,0.13521331225648758,0.13521331225648758,0.13521331225648758,0.13521331225648758,0.1326752420765853,0.13011807839095524,0.1275866362962852,0.12364850236715837,0.11317606287218059,0.10208685987530204,0.5914094897897004,0.13728040100490363,0.5545988224428797,0.13630865332074354,0.31095120975600915,0.11537933024676884,0.26886811852052694,0.11666794997560984,0.11537933024676884,0.11537933024676884,0.11666794997560984,0.11666794997560984,0.1078529816346239,0.10790497753430818,0.10754346898503749,0.10882476477423585,0.10743606618534828,0.11344649567210852,0.10766147325124356,0.16886591298412051,0.10663271569518074,0.09871105461543696,0.10980252506087812,0.1071314232673616,0.10257000946840648,0.12196119787782382,0.10683972372683603,0.10009344229120044,0.10782374905344216
6,-0.00930580189386028,-0.09889137769421143,-0.43711339575455854,-0.17191011198545939,-0.17191011198545939,-0.17191011198545939,-0.17191011198545939,-0.1659520542096553,-0.1608844448339127,-0.1548910223743289,-0.14817575103455474,-0.1278548913509378,-0.10746833959041936,-2.9552493897431615,-0.17793422141652604,-2.617859803573849,-0.17538718240715576,-0.6742217796195633,-0.12950258289879427,-0.4347898095310422,-0.13200126201244458,-0.12950258289879427,-0.12950258289879427,-0.13200126201244458,-0.13200126201244458,-0.15107677958993787,-0.15199968121352508,-0.15114031633432848,-0.15366886133252747,-0.15011790343894654,-0.12880182538241855,-0.15110118577386775,-0.25245626695348966,-0.11163395411155563,-0.09638217063447872,-0.11583993363362552,-0.1133888613414815,-0.1049444652663118,-0.14047436078201958,-0.11247696495384904,-0.09984348572196368,-0.1124242874210962
7,0.003984074331836076,0.1596758408719453,0.5875478358663986,0.27761208447193086,0.27761208447193086,0.27761208447193086,0.27761208447193086,0.2679651728671603,0.2594927573596813,0.24940691776610777,0.23886893262072004,0.20588993847398973,0.172240132044751,3.564367809159351,0.2877335962611786,3.1714519959494214,0.28393941896374103,0.8773087746235548,0.20934109514120097,0.5846869815960474,0.2128644262541784,0.20934109514120097,0.20934109514120097,0.2128644262541784,0.2128644262541784,0.24365066200312088,0.24591034957632907,0.2441964766525221,0.24857477000081787,0.24085663664358203,0.20850289654074888,0.2438274936281923,0.4062869103616448,0.1800566789142811,0.1558539260427849,0.18733524949264657,0.18317031836778605,0.1700355845106998,0.22732279624058088,0.18097238706065233,0.1618358943336181,0.18103676452740963
8,0.06720781219928247,0.09130373329319191,0.04054802597776678,0.022358416189570064,0.021268502509016983,0.021268502509016983,0.0205956666646785,0.021746978105146284,0.02109053992137,0.020402040990590262,0.022358416189570064,0.022358416189570064,0.022358416189570064,0.04692613931856195,0.02326882901153971,0.04216592844409624,0.022556518293857387,0.023411354283657673,0.016224830316848703,0.0211087719442153,0.01664253794169777,0.016224830316848703,0.016224830316848703,0.01664253794169777,0.01664253794169777,0.02822346708097409,0.027517988495607847,0.02779509098608108,0.027797084833624176,0.02738842136288207,0.023702532145921613,0.026935566537380287,0.03423522087813191,0.0153663823777253,0.011971593588654246,0.016706404079430984,0.01648827086319714,0.014613513688057071,0.020974126835705268,0.01605690273994591,0.013068524993103623,0.016192735646821277
