Latitude,Longitude,LCOE,Plant Pct,Wind Pct,CI,CI Orig,OrigCI,TrueCI
32.6078,-85.0975,0.066361750862701,100,30,80.0667503041002,0,24.518578703,26.3701844230367
32.8025088392245,-85.2309496645395,0.0637558703652092,100,70,111.060119468426,0,27.361504027,30.1514578750475
32.6078,-85.364399329079,0.0603832792730499,100,70,92.6542039895796,0,27.361504027,29.537927359086
32.4130911607755,-85.2309496645395,0.0651953862989175,100,50,98.1086195439931,0,25.940041365,28.3456606376331
32.4130911607755,-84.9640503354605,0.0669345057015443,100,30,84.2097060917348,0,24.518578703,26.5082829492912
32.6078,-84.830600670921,0.0614003994616032,100,70,98.3271821790928,0,27.361504027,29.7270266320698
32.8025088392245,-84.9640503354605,0.0629797915451695,100,70,106.980533968579,0,27.361504027,30.0154716917193
33.0574608029594,-85.0975,0.0658405521337044,100,50,102.005143796523,0,25.940041365,28.4755447793841
32.9972176784489,-85.364399329079,0.0631844474973613,100,70,108.154010050236,0,27.361504027,30.0545875611079
32.8326304014797,-85.5597831984708,0.061178620678093,100,70,97.2929230602885,0,27.361504027,29.6925513281096
32.6078,-85.6312986581579,0.0614485514302203,100,70,98.6734506514732,0,27.361504027,29.7385689144824
32.3829695985203,-85.5597831984708,0.0642745209752148,100,50,92.610676468908,0,25.940041365,28.1623958684636
32.2183823215511,-85.364399329079,0.0659967433902546,100,30,77.6594288136261,0,24.518578703,26.2899403733542
32.1581391970406,-85.0975,0.0657726466832177,100,30,75.5946174979222,0,24.518578703,26.2211133294974
32.2183823215511,-84.830600670921,0.0644097621054067,100,50,93.5565699202203,0,25.940041365,28.193925650174
32.3829695985203,-84.6352168015292,0.0614847518908651,100,70,98.9423120343161,0,27.361504027,29.7475309605772
32.6078,-84.563701341842,0.0637743976198978,100,50,89.6059950700323,0,25.940041365,28.0622398218344
32.8326304014797,-84.6352168015292,0.0626232310537927,100,70,104.875123517333,0,27.361504027,29.9452913433444
32.9972176784489,-84.830600670921,0.0623459909182125,100,70,103.559927052871,0,27.361504027,29.9014514611957
32.381352,-86.57437,0.0658941864340375,100,30,75.9274114772121,0,24.518578703,26.2322064621404
32.5760608392245,-86.7074841477798,0.0632435298409317,100,70,108.486148661814,0,27.361504027,30.0656588481605
32.381352,-86.8405982955596,0.0657408727435989,100,30,74.5664379405172,0,24.518578703,26.1868406775839
32.1866431607755,-86.7074841477798,0.0657551547811023,100,50,101.38913458606,0,25.940041365,28.4550111390353
32.1866431607755,-86.4412558522202,0.064427952838044,100,50,93.888478078683,0,25.940041365,28.2049892554561
32.381352,-86.3081417044404,0.0651364155927132,100,30,69.8379464860126,0,24.518578703,26.0292242957671
32.5760608392245,-86.4412558522202,0.0623207114274238,100,70,103.32556975335,0,27.361504027,29.8936395512117
32.8310128029594,-86.57437,0.0614686723350119,100,70,98.7742573413206,0,27.361504027,29.7419291374774
32.7707696784489,-86.8405982955596,0.0649415981384126,100,50,96.6453484906515,0,25.940041365,28.296884935855
32.6061824014797,-87.0354909343217,0.0636748610315703,100,50,89.1535697463539,0,25.940041365,28.0471589777118
32.381352,-87.1068265911192,0.0654697588029084,100,30,72.8042159114464,0,24.518578703,26.1280999432815
32.1565215985203,-87.0354909343217,0.0634571813569285,100,70,109.700076048536,0,27.361504027,30.1061230943845
31.9919343215511,-86.8405982955596,0.0640758081129594,100,50,91.9040922770271,0,25.940041365,28.1388430620676
31.9316911970406,-86.57437,0.0612747779156777,100,70,97.9590072834589,0,27.361504027,29.7147541355486
31.9919343215511,-86.3081417044404,0.0618138016263158,100,70,100.871021785565,0,27.361504027,29.8118212856188
32.1565215985203,-86.1132490656783,0.0660829722591987,100,30,78.3760285322849,0,24.518578703,26.3138270306428
32.381352,-86.0419134088808,0.0661154574548055,100,30,76.8000689681555,0,24.518578703,26.2612950451719
32.6061824014797,-86.1132490656783,0.0652068648972659,100,30,69.9416166455501,0,24.518578703,26.0326799677517
32.7707696784489,-86.3081417044404,0.0628230928871051,100,70,106.32440103483,0,27.361504027,29.9936005939277
34.6292,-87.0214,0.0645738949981667,100,50,93.9548330452194,0,25.940041365,28.207201087674
34.8239088392245,-87.1580174012659,0.0632620626461297,100,70,108.316999021729,0,27.361504027,30.0600205268243
34.6292,-87.2946348025317,0.0615116298851043,100,70,98.7768558587903,0,27.361504027,29.7420157547263
34.4344911607755,-87.1580174012659,0.0648255835302053,100,50,95.6248721594146,0,25.940041365,28.2628690581471
34.4344911607755,-86.8847825987341,0.0646013950506653,100,50,94.2241869682788,0,25.940041365,28.216179551776
34.6292,-86.7481651974683,0.0649281482412473,100,50,96.1346310056545,0,25.940041365,28.2798610196885
34.8239088392245,-86.8847825987341,0.062462754235401,100,70,104.117786909629,0,27.361504027,29.9200467897543
35.0788608029594,-87.0214,0.0641680497263518,100,70,112.954676733608,0,27.361504027,30.2146097838869
35.0186176784489,-87.2946348025317,0.0598474990074445,100,70,89.4287571464483,0,27.361504027,29.4304124643149
34.8540304014797,-87.494656560381,0.0634097985830963,100,70,109.045951500251,0,27.361504027,30.084318942775
34.6292,-87.5678696050635,0.0610089648019894,100,70,96.1203457682869,0,27.361504027,29.6534654183762
34.4043695985203,-87.494656560381,0.0584646298627422,100,90,95.9320497202658,0,28.782966689,31.0212694567089
34.2397823215511,-87.2946348025317,0.061330202429647,100,70,97.9955116801663,0,27.361504027,29.7159709487722
34.1795391970406,-87.0214,0.0617954446085099,100,70,100.6781437407,0,27.361504027,29.8053920174567
