Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NREL M2,0,Arvada,CO,US,39.91,-105.22,-7,1835,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,0,0,0,1.0513,-9.9318,144.99,811.6486,-16.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,0.1232,0,0,1.5769,-9.1061,133.74,811.799,-16.4843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,0,0,0,1.7539,-8.267,122.25,811.4762,-16.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,0,0,0,1.9566,-8.1386,110.89,811.1295,-17.8932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,0,0,0,2.2131,-7.8187,99.92,811.6475,-18.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,19.7851,16.48758333,260.5038167,1.8572,-7.4406,89.24,812.2116,-17.1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,30,144.4482,37.08805135,630.496873,1.2525,-5.4743,80.22,812.7547,-15.1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,30,282.7388,65.9390841,716.3382318,0.8687,-2.5613,72.4,812.9293,-12.1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,10,30,395.1876,44.40310112,882.7336503,2.4869,-2.2021,66.56,812.6314,-11.3487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,11,30,477.0092,49.37790547,951.2234242,2.6471,-0.574,63.31,811.9625,-10.7718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,12,30,468.3612,48.82529884,924.9681614,2.3077,0.6711,63.05,811.0026,-9.8245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,13,30,391.6627,43.32927918,850.443303,2.6749,1.5795,65.83,810.8911,-8.7669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,14,30,290.5146,38.29132264,784.972114,1.5363,2.3676,71.28,811.1367,-9.8795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,15,30,137.749,25.24196335,579.1227592,0.7631,1.5702,78.82,811.4381,-10.8045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,16,30,0,0,0,1.091,-1.3699,87.76,811.5082,-9.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,17,30,0,0,0,2.0115,-3.5074,98.16,811.7368,-11.9218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,18,30,0,0,0,1.8365,-3.051,109.04,812.0504,-13.6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,19,30,0,0,0,2.1402,-3.5447,120.35,812.173,-15.7175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,20,30,0,0,0,1.4539,-2.0634,131.84,812.0442,-15.4813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,21,30,0,0,0,1.0756,-1.7506,143.15,811.9723,-15.3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,22,30,0,0,0,1.3452,-1.9418,153.63,811.8769,-15.0935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
