Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NREL M2,0,Arvada,CO,US,39.91,-105.22,-7,1835,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,2,30,0,0,0.2507,2.117,1.2197,144.9966667,814.878,-15.6193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,3,30,0,0,0.1161,1.5115,1.3898,133.7466667,814.5668,-15.6027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,4,30,0,0,0,2.57,0.9675,122.26,814.5174,-14.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,5,30,0,0,0,1.9322,1.5914,110.8966667,814.4003,-13.4197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,6,30,0,0,0,0.9696,2.9747,99.92333333,814.3646,-14.1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,7,30,26.5801,27.2267,0.1281,1.5246,2.3457,89.25,814.1891,-12.7512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,8,30,171.3703,176.7495,0,1.3556,3.9789,80.22666667,814.3791,-13.1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,9,30,323.7199,336.8276,0,1.3291,5.6682,72.40333333,814.2192,-11.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,10,30,451.3804,474.5093,0,1.6769,7.0171,66.56,813.2406,-12.7128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,11,30,519.7928,548.1622,0,3.0153,7.9043,63.30333333,812.1848,-10.4867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,12,30,534.1199,539.0616,0,2.4845,8.6439,63.04333333,811.5157,-8.4654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,13,30,491.3451,476.0824,0.6635,2.7591,6.946,65.82,811.2931,-6.8761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,14,30,386.7683,358.3371,0.9562,2.3062,6.7468,71.27,810.9767,-8.4193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,15,30,212.7589,196.1468,0,1.703,6.909,78.80666667,810.682,-9.8595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
