Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,777539,-,-,-,43.09,-93.3,-6,369,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2013,1,1,0,30,0,0,0,2.3000000000000003,-18,159.70000000000002,970,-21
2013,1,1,1,30,0,0,0,2.2,-19,154.82,980,-21
2013,1,1,2,30,0,0,0,2.2,-19,145.95000000000002,980,-21
2013,1,1,3,30,0,0,0,2.3000000000000003,-19,135.55,980,-21
2013,1,1,4,30,0,0,0,2.4000000000000004,-20,124.66,980,-22
2013,1,1,5,30,0,0,0,2.4000000000000004,-21,113.77,980,-22
2013,1,1,6,30,0,0,0,2.3000000000000003,-20,103.18,980,-22
2013,1,1,7,30,0,0,0,2.1,-20,93.18,980,-22
2013,1,1,8,30,84,30,524,1.7000000000000002,-18,84.11,980,-22
2013,1,1,9,30,20,20,0,1.5,-15,76.38,980,-20
2013,1,1,10,30,100,100,0,1.5,-13,70.47,980,-18
2013,1,1,11,30,121,121,0,1.9000000000000001,-11,66.91,970,-17
2013,1,1,12,30,152,148,11,2.6,-10,66.09,970,-16
2013,1,1,13,30,100,100,0,3.2,-9,68.12,970,-15
2013,1,1,14,30,60,60,0,3.5,-9,72.76,970,-14
2013,1,1,15,30,33,33,0,3.1,-10,79.52,970,-13
2013,1,1,16,30,25,25,0,2.6,-11,87.88,970,-14
2013,1,1,17,30,0,0,0,2.5,-12,97.4,970,-15
2013,1,1,18,30,0,0,0,2.5,-13,107.68,970,-15
2013,1,1,19,30,0,0,0,2.6,-14,118.44,970,-16
2013,1,1,20,30,0,0,0,2.5,-14,129.37,970,-16
2013,1,1,21,30,0,0,0,2.5,-13,140.12,970,-15
2013,1,1,22,30,0,0,0,2.7,-12,150.03,970,-14
2013,1,1,23,30,0,0,0,3.1,-12,157.56,970,-14
2013,1,2,0,30,0,0,0,3.5,-12,159.63,970,-14
2013,1,2,1,30,0,0,0,3.4000000000000004,-12,154.8,970,-14
2013,1,2,2,30,0,0,0,3.2,-13,145.97,970,-15
2013,1,2,3,30,0,0,0,2.9000000000000004,-14,135.58,970,-15
2013,1,2,4,30,0,0,0,2.6,-14,124.69,970,-15
2013,1,2,5,30,0,0,0,2.4000000000000004,-14,113.79,970,-16
2013,1,2,6,30,0,0,0,2.3000000000000003,-14,103.2,970,-16
2013,1,2,7,30,0,0,0,2.3000000000000003,-13,93.19,970,-16
2013,1,2,8,30,79,34,441,2.8000000000000003,-12,84.11,970,-15
2013,1,2,9,30,223,63,681,3.2,-10,76.35000000000001,970,-13
2013,1,2,10,30,342,80,783,3.2,-9,70.42,970,-12
2013,1,2,11,30,414,90,824,3.2,-8,66.83,970,-11
2013,1,2,12,30,137,137,0,3.3000000000000003,-7,65.99,970,-10
2013,1,2,13,30,124,124,0,3.4000000000000004,-5,68.01,970,-8
2013,1,2,14,30,88,88,0,3.1,-5,72.63,970,-7
2013,1,2,15,30,52,52,0,2.2,-5,79.38,970,-7
2013,1,2,16,30,7,7,0,1.6,-6,87.74,970,-7
2013,1,2,17,30,0,0,0,1.8,-6,97.25,970,-7
2013,1,2,18,30,0,0,0,2.3000000000000003,-6,107.54,970,-7
2013,1,2,19,30,0,0,0,2.8000000000000003,-5,118.29,970,-6
2013,1,2,20,30,0,0,0,3.1,-5,129.23,970,-6
2013,1,2,21,30,0,0,0,3.1,-6,139.98,970,-6
2013,1,2,22,30,0,0,0,3.2,-6,149.89000000000001,970,-7
2013,1,2,23,30,0,0,0,3.6,-7,157.43,970,-7
2013,1,3,0,30,0,0,0,4.1000000000000005,-7,159.54,970,-7
2013,1,3,1,30,0,0,0,4.4,-8,154.78,970,-8
2013,1,3,2,30,0,0,0,4.4,-9,145.98,970,-10
2013,1,3,3,30,0,0,0,4.1000000000000005,-11,135.6,970,-12
2013,1,3,4,30,0,0,0,4,-12,124.72,970,-14
2013,1,3,5,30,0,0,0,4,-13,113.82000000000001,970,-16
2013,1,3,6,30,0,0,0,3.9000000000000004,-14,103.21000000000001,970,-16
2013,1,3,7,30,0,0,0,3.8000000000000003,-13,93.2,970,-17
2013,1,3,8,30,79,39,390,4.3,-12,84.09,980,-16
2013,1,3,9,30,98,91,29,5,-10,76.32000000000001,980,-14
2013,1,3,10,30,151,134,47,5.1000000000000005,-9,70.36,980,-13
2013,1,3,11,30,417,103,797,5.1000000000000005,-9,66.75,980,-12
2013,1,3,12,30,434,106,803,5.1000000000000005,-9,65.89,980,-12
2013,1,3,13,30,393,101,773,5.1000000000000005,-9,67.89,980,-12
2013,1,3,14,30,298,85,707,4.800000000000001,-9,72.49,980,-12
2013,1,3,15,30,165,60,561,4,-9,79.24,980,-12
2013,1,3,16,30,28,19,194,2.9000000000000004,-9,87.60000000000001,980,-12
2013,1,3,17,30,0,0,0,2.4000000000000004,-10,97.11,980,-13
2013,1,3,18,30,0,0,0,2.7,-11,107.39,980,-13
2013,1,3,19,30,0,0,0,3.2,-12,118.15,980,-14
2013,1,3,20,30,0,0,0,3.6,-13,129.08,980,-14
2013,1,3,21,30,0,0,0,3.9000000000000004,-13,139.83,970,-15
2013,1,3,22,30,0,0,0,4.4,-13,149.74,970,-14
2013,1,3,23,30,0,0,0,4.9,-12,157.3,970,-14
2013,1,4,0,30,0,0,0,5.300000000000001,-12,159.45000000000002,970,-14
2013,1,4,1,30,0,0,0,5.4,-12,154.75,970,-13
2013,1,4,2,30,0,0,0,5.4,-11,145.98,970,-13
2013,1,4,3,30,0,0,0,5.300000000000001,-11,135.62,970,-13
2013,1,4,4,30,0,0,0,5.1000000000000005,-11,124.74000000000001,970,-13
2013,1,4,5,30,0,0,0,4.9,-11,113.83,970,-13
2013,1,4,6,30,0,0,0,4.9,-11,103.22,970,-13
2013,1,4,7,30,0,0,0,5.1000000000000005,-10,93.19,970,-13
2013,1,4,8,30,83,29,519,5.4,-9,84.07000000000001,970,-13
2013,1,4,9,30,230,50,758,5.300000000000001,-7,76.28,970,-11
2013,1,4,10,30,351,62,858,5,-5,70.3,970,-9
2013,1,4,11,30,425,68,900,5.1000000000000005,-3,66.67,970,-7
2013,1,4,12,30,442,72,902,5.1000000000000005,-1,65.78,970,-6
2013,1,4,13,30,402,68,880,4.4,-1,67.76,970,-5
2013,1,4,14,30,308,60,819,3.2,-1,72.35000000000001,970,-5
2013,1,4,15,30,173,44,682,2,-3,79.09,970,-4
2013,1,4,16,30,31,17,327,1.7000000000000002,-6,87.45,970,-7
2013,1,4,17,30,0,0,0,1.9000000000000001,-8,96.96000000000001,970,-9
2013,1,4,18,30,0,0,0,2,-8,107.24000000000001,970,-9
2013,1,4,19,30,0,0,0,2,-9,118,970,-10
2013,1,4,20,30,0,0,0,1.9000000000000001,-9,128.93,970,-10
2013,1,4,21,30,0,0,0,1.8,-10,139.68,970,-11
2013,1,4,22,30,0,0,0,2,-11,149.59,970,-11
2013,1,4,23,30,0,0,0,2.4000000000000004,-11,157.15,970,-12
2013,1,5,0,30,0,0,0,2.6,-11,159.35,970,-12
2013,1,5,1,30,0,0,0,2.5,-11,154.71,970,-12
2013,1,5,2,30,0,0,0,2.3000000000000003,-11,145.97,970,-12
2013,1,5,3,30,0,0,0,2.2,-11,135.63,970,-12
2013,1,5,4,30,0,0,0,2.5,-12,124.75,970,-13
2013,1,5,5,30,0,0,0,3,-11,113.84,970,-13
2013,1,5,6,30,0,0,0,3.6,-10,103.22,970,-12
2013,1,5,7,30,0,0,0,3.8000000000000003,-9,93.18,970,-11
2013,1,5,8,30,80,34,438,4.2,-8,84.05,970,-10
2013,1,5,9,30,226,61,695,4.800000000000001,-6,76.23,970,-9
2013,1,5,10,30,347,76,802,5.5,-4,70.23,970,-7
2013,1,5,11,30,421,84,849,6.2,-2,66.57000000000001,970,-5
2013,1,5,12,30,156,151,12,6.4,-1,65.66,960,-4
2013,1,5,13,30,398,82,831,6.1000000000000005,-1,67.62,960,-3
2013,1,5,14,30,48,48,0,5.2,-1,72.2,960,-4
2013,1,5,15,30,171,50,631,3.7,-3,78.94,960,-4
2013,1,5,16,30,31,17,282,3,-5,87.29,960,-6
2013,1,5,17,30,0,0,0,3.4000000000000004,-6,96.8,960,-8
2013,1,5,18,30,0,0,0,4,-6,107.09,960,-8
2013,1,5,19,30,0,0,0,4.800000000000001,-5,117.85000000000001,970,-7
2013,1,5,20,30,0,0,0,5.6000000000000005,-5,128.78,970,-7
2013,1,5,21,30,0,0,0,5.7,-6,139.53,970,-8
2013,1,5,22,30,0,0,0,5.5,-7,149.43,970,-8
2013,1,5,23,30,0,0,0,5.5,-7,157.01,970,-8
2013,1,6,0,30,0,0,0,5.6000000000000005,-7,159.25,970,-9
2013,1,6,1,30,0,0,0,5.800000000000001,-8,154.66,970,-9
2013,1,6,2,30,0,0,0,5.800000000000001,-9,145.96,970,-11
2013,1,6,3,30,0,0,0,5.2,-11,135.63,970,-12
2013,1,6,4,30,0,0,0,4.4,-13,124.76,970,-14
2013,1,6,5,30,0,0,0,3.8000000000000003,-14,113.85000000000001,970,-15
2013,1,6,6,30,0,0,0,3.6,-14,103.22,970,-16
2013,1,6,7,30,0,0,0,3.5,-14,93.17,970,-17
2013,1,6,8,30,86,31,530,3.7,-12,84.02,970,-16
2013,1,6,9,30,236,52,770,4.1000000000000005,-9,76.18,980,-14
2013,1,6,10,30,359,64,869,4.1000000000000005,-7,70.16,980,-12
2013,1,6,11,30,434,71,909,3.6,-5,66.47,970,-10
2013,1,6,12,30,452,75,909,2.9000000000000004,-4,65.54,970,-10
2013,1,6,13,30,410,74,879,2.4000000000000004,-4,67.48,970,-9
2013,1,6,14,30,315,67,805,2,-4,72.05,970,-8
2013,1,6,15,30,179,51,659,1.6,-5,78.78,970,-7
2013,1,6,16,30,35,20,305,1.5,-8,87.13,970,-9
2013,1,6,17,30,0,0,0,1.8,-10,96.65,970,-11
2013,1,6,18,30,0,0,0,2.3000000000000003,-11,106.94,970,-11
2013,1,6,19,30,0,0,0,2.9000000000000004,-10,117.69,970,-11
2013,1,6,20,30,0,0,0,3.7,-9,128.62,970,-10
2013,1,6,21,30,0,0,0,4.4,-8,139.37,970,-9
2013,1,6,22,30,0,0,0,4.800000000000001,-8,149.27,970,-9
2013,1,6,23,30,0,0,0,5.1000000000000005,-8,156.85,970,-9
2013,1,7,0,30,0,0,0,5.5,-8,159.13,970,-9
2013,1,7,1,30,0,0,0,5.800000000000001,-8,154.6,970,-9
2013,1,7,2,30,0,0,0,6,-7,145.94,970,-9
2013,1,7,3,30,0,0,0,6.1000000000000005,-7,135.63,970,-9
2013,1,7,4,30,0,0,0,6.2,-7,124.76,970,-9
2013,1,7,5,30,0,0,0,6.1000000000000005,-6,113.84,970,-8
2013,1,7,6,30,0,0,0,5.7,-6,103.21000000000001,970,-8
2013,1,7,7,30,0,0,0,5.5,-6,93.15,970,-8
2013,1,7,8,30,11,11,0,5.5,-5,83.98,970,-8
2013,1,7,9,30,116,94,90,5.4,-3,76.12,970,-6
2013,1,7,10,30,238,128,322,5.1000000000000005,-1,70.07000000000001,970,-5
2013,1,7,11,30,258,170,218,5.300000000000001,0,66.36,970,-3
2013,1,7,12,30,250,182,164,5,0,65.4,970,-2
2013,1,7,13,30,272,151,312,4,0,67.33,970,-2
2013,1,7,14,30,196,122,237,3.1,0,71.89,970,-1
2013,1,7,15,30,113,72,203,2.3000000000000003,-1,78.62,970,-1
2013,1,7,16,30,23,20,57,1.9000000000000001,-3,86.97,970,-3
2013,1,7,17,30,0,0,0,1.9000000000000001,-4,96.48,970,-5
2013,1,7,18,30,0,0,0,1.9000000000000001,-5,106.78,970,-6
2013,1,7,19,30,0,0,0,2,-6,117.53,970,-7
2013,1,7,20,30,0,0,0,2,-7,128.47,970,-7
2013,1,7,21,30,0,0,0,1.9000000000000001,-7,139.21,970,-7
2013,1,7,22,30,0,0,0,1.8,-8,149.11,970,-8
2013,1,7,23,30,0,0,0,1.7000000000000002,-8,156.69,970,-8
2013,1,8,0,30,0,0,0,1.5,-7,159.01,970,-8
2013,1,8,1,30,0,0,0,1.3,-7,154.54,970,-7
2013,1,8,2,30,0,0,0,0.9,-6,145.91,970,-6
2013,1,8,3,30,0,0,0,0.8,-6,135.62,970,-6
2013,1,8,4,30,0,0,0,1.2000000000000002,-7,124.75,970,-7
2013,1,8,5,30,0,0,0,1.8,-8,113.84,970,-8
2013,1,8,6,30,0,0,0,2.2,-8,103.19,970,-9
2013,1,8,7,30,0,0,0,3,-7,93.12,970,-9
2013,1,8,8,30,32,32,0,3.9000000000000004,-5,83.93,970,-7
2013,1,8,9,30,75,75,0,4.7,-3,76.05,970,-5
2013,1,8,10,30,173,143,88,5.5,-1,69.98,960,-3
2013,1,8,11,30,149,145,9,5.800000000000001,0,66.24,960,-2
2013,1,8,12,30,435,96,811,5.6000000000000005,0,65.26,960,-1
2013,1,8,13,30,197,165,83,5.2,1,67.17,960,0
2013,1,8,14,30,191,127,204,4.9,1,71.73,960,0
2013,1,8,15,30,82,75,37,4.7,0,78.45,960,0
2013,1,8,16,30,16,16,0,4.6000000000000005,0,86.8,960,0
2013,1,8,17,30,0,0,0,4.7,0,96.32000000000001,960,0
2013,1,8,18,30,0,0,0,4.800000000000001,0,106.61,960,0
2013,1,8,19,30,0,0,0,5,0,117.37,960,-1
2013,1,8,20,30,0,0,0,5,-1,128.3,960,-1
2013,1,8,21,30,0,0,0,5,-2,139.04,970,-2
2013,1,8,22,30,0,0,0,5.1000000000000005,-2,148.94,970,-3
2013,1,8,23,30,0,0,0,5.2,-3,156.52,970,-3
2013,1,9,0,30,0,0,0,5.2,-3,158.88,970,-3
2013,1,9,1,30,0,0,0,5.2,-3,154.47,970,-4
2013,1,9,2,30,0,0,0,5.4,-3,145.88,970,-4
2013,1,9,3,30,0,0,0,5.5,-3,135.6,970,-4
2013,1,9,4,30,0,0,0,5.5,-3,124.74000000000001,970,-4
2013,1,9,5,30,0,0,0,5.2,-3,113.82000000000001,970,-4
2013,1,9,6,30,0,0,0,4.9,-3,103.17,970,-4
2013,1,9,7,30,0,0,0,4.800000000000001,-3,93.08,970,-4
2013,1,9,8,30,87,31,529,4.6000000000000005,-2,83.88,970,-4
2013,1,9,9,30,237,51,767,4.5,-1,75.98,980,-4
2013,1,9,10,30,359,64,858,5.300000000000001,0,69.88,980,-3
2013,1,9,11,30,433,72,893,6.1000000000000005,0,66.12,980,-3
2013,1,9,12,30,452,77,892,5.800000000000001,1,65.12,980,-2
2013,1,9,13,30,413,72,873,4.800000000000001,2,67.01,980,-2
2013,1,9,14,30,322,61,822,3,1,71.56,980,-2
2013,1,9,15,30,188,46,698,1.6,0,78.28,980,-2
2013,1,9,16,30,42,20,377,1,0,86.63,980,-4
2013,1,9,17,30,0,0,0,0.6000000000000001,0,96.15,980,-5
2013,1,9,18,30,0,0,0,1,-2,106.45,980,-6
2013,1,9,19,30,0,0,0,1.8,-3,117.21000000000001,980,-6
2013,1,9,20,30,0,0,0,2.7,-3,128.14000000000001,980,-7
2013,1,9,21,30,0,0,0,3.5,-3,138.88,980,-6
2013,1,9,22,30,0,0,0,4.1000000000000005,-3,148.77,980,-5
2013,1,9,23,30,0,0,0,4.2,-3,156.35,980,-5
2013,1,10,0,30,0,0,0,4,-3,158.74,980,-5
2013,1,10,1,30,0,0,0,3.7,-3,154.39000000000001,980,-5
2013,1,10,2,30,0,0,0,3.3000000000000003,-4,145.84,980,-5
2013,1,10,3,30,0,0,0,3,-4,135.58,980,-5
2013,1,10,4,30,0,0,0,2.7,-4,124.72,980,-5
2013,1,10,5,30,0,0,0,2.6,-4,113.8,980,-5
2013,1,10,6,30,0,0,0,2.8000000000000003,-4,103.14,980,-5
2013,1,10,7,30,0,0,0,3.7,-3,93.04,980,-5
2013,1,10,8,30,49,38,99,4.6000000000000005,-1,83.82000000000001,980,-4
2013,1,10,9,30,76,76,0,4.9,0,75.9,970,-3
2013,1,10,10,30,168,143,72,5,0,69.77,970,-3
2013,1,10,11,30,261,173,215,5.1000000000000005,1,65.99,970,-2
2013,1,10,12,30,267,184,196,5.5,2,64.96000000000001,970,-2
2013,1,10,13,30,151,145,14,5.6000000000000005,2,66.84,970,-2
2013,1,10,14,30,93,93,0,5.7,1,71.38,970,-1
2013,1,10,15,30,62,62,0,6.300000000000001,1,78.10000000000001,970,-1
2013,1,10,16,30,13,13,0,5.9,0,86.46000000000001,960,0
2013,1,10,17,30,0,0,0,5.1000000000000005,0,95.98,960,0
2013,1,10,18,30,0,0,0,5.1000000000000005,0,106.28,960,0
2013,1,10,19,30,0,0,0,4.9,0,117.04,960,0
2013,1,10,20,30,0,0,0,4.5,0,127.97,960,0
2013,1,10,21,30,0,0,0,4.4,0,138.71,960,0
2013,1,10,22,30,0,0,0,4.4,0,148.59,960,0
2013,1,10,23,30,0,0,0,3.7,0,156.17000000000002,960,0
2013,1,11,0,30,0,0,0,2.6,0,158.59,960,0
2013,1,11,1,30,0,0,0,2.4000000000000004,0,154.3,960,0
2013,1,11,2,30,0,0,0,2.8000000000000003,0,145.79,960,0
2013,1,11,3,30,0,0,0,2.7,0,135.55,960,0
2013,1,11,4,30,0,0,0,2.5,0,124.7,960,0
2013,1,11,5,30,0,0,0,2.6,0,113.78,950,0
2013,1,11,6,30,0,0,0,3,0,103.11,950,0
2013,1,11,7,30,0,0,0,3.5,0,92.99,950,0
2013,1,11,8,30,78,33,413,3.9000000000000004,0,83.76,950,0
2013,1,11,9,30,27,27,0,4.1000000000000005,1,75.81,950,0
2013,1,11,10,30,94,94,0,4.2,1,69.66,950,1
2013,1,11,11,30,65,65,0,4.2,2,65.85,950,2
