Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Wind Direction,Windspeed,Pressure,Temperature,Version
Wind Integration National Toolkit,-,Hawaii,21.75167084,-157.8942108,0,-10,-,deg,m/s,mB,°C,v1.00
wind speed,temperature,degrees true,pressure,Year,Month,Day,Hour,Minute,,,,
10.81199,22.04060211,68.6628727,1001.473105,2019,1,3,21,0,,,,
11.50250925,22.0002915,76.96910656,1000.835895,2019,1,3,22,0,,,,
13.17412635,21.27098372,68.96975587,1000.124,2019,1,3,23,0,,,,
9.63327032,21.71027479,68.22205621,999.06121,2019,1,4,0,0,,,,
11.19209237,22.17997919,70.15950498,999.22221,2019,1,4,1,0,,,,
10.51349587,21.99016701,63.71440877,999.335895,2019,1,4,2,0,,,,
10.98280977,21.87177443,69.85039659,999.82221,2019,1,4,3,0,,,,
12.2492502,21.60113944,67.58825929,1000.085,2019,1,4,4,0,,,,
12.40397606,21.35019231,83.55537533,1000.435895,2019,1,4,5,0,,,,
12.50250904,21.60019035,65.55250939,1000.724,2019,1,4,6,0,,,,
13.83644107,21.67127951,73.31778356,1000.885,2019,1,4,7,0,,,,
13.69394121,22.03031648,79.99762465,1000.773105,2019,1,4,8,0,,,,
14.5429157,21.93071348,81.69720542,1000.573105,2019,1,4,9,0,,,,
13.59384911,21.61998709,85.60851837,1000.36121,2019,1,4,10,0,,,,
14.40283651,21.70997945,76.5690617,1000.435895,2019,1,4,11,0,,,,
13.07523729,21.78063117,85.40951625,1000.185,2019,1,4,12,0,,,,
15.97403818,21.89044849,81.41328115,1000.36121,2019,1,4,13,0,,,,
16.00900599,20.74027918,85.94478243,1000.26121,2019,1,4,14,0,,,,
15.58023066,21.1003151,89.2146574,1000.46121,2019,1,4,15,0,,,,
13.89298168,21.65998104,89.47507964,1000.535895,2019,1,4,16,0,,,,
14.2923018,21.7706081,90.68730695,1000.92221,2019,1,4,17,0,,,,
14.50379838,22.21029584,85.53839773,1001.635895,2019,1,4,18,0,,,,
13.40349196,21.91998879,93.83910564,1002.073105,2019,1,4,19,0,,,,
13.32334369,21.98027973,95.15655977,1002.573105,2019,1,4,20,0,,,,
13.19169367,22.19052426,93.75006968,1002.273105,2019,1,4,21,0,,,,
12.92219998,22.26020315,92.73422294,1001.635895,2019,1,4,22,0,,,,
11.79261725,22.14023179,92.38955433,1001.073105,2019,1,4,23,0,,,,
12.13282304,22.22063085,92.93692188,1000.22221,2019,1,5,0,0,,,,
12.01232506,22.22016707,94.76783601,1000.235895,2019,1,5,1,0,,,,
12.00198618,22.22060174,96.73709632,1000.085,2019,1,5,2,0,,,,
13.22241608,22.39989646,93.82832752,1000.473105,2019,1,5,3,0,,,,
12.44258658,22.2102672,90.19186888,1000.585,2019,1,5,4,0,,,,
12.94273039,22.32031007,90.09160121,1000.673105,2019,1,5,5,0,,,,
11.94382875,21.45016171,98.85209365,1000.912105,2019,1,5,6,0,,,,
14.32504767,22.48018971,89.84193379,1001.12221,2019,1,5,7,0,,,,
14.12451227,21.13096354,99.76982391,1001.112105,2019,1,5,8,0,,,,
