Project,Scenario,Dollar_year
Standard_scenarios_2020,MidCase,2019$
state,country,t,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,curt_solar,curt_wind,co2_rate_avg_gen,co2_rate_avg_load_enduse,co2_srmer_enduse,co2_lrmer_enduse,co2_gen_mmt,energy_cost_busbar,op_res_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,op_res_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh,battery_MW,biomass_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,rps_all_shadow_price,rps_all_f,rps_solar_shadow_price,rps_solar_f,rps_wind_shadow_price,rps_wind_f,ces_shadow_price,ces_f
ID,usa,2018,26371534.8,25891841.7,24597249.6,0.0,22664695.0,0.0,0.0,479693.1,0.05,0.0749,0.1339,33232.5,5567.4,0.0,0.0,52.6,322.3,622.5,98.7,0.8,31.79,0.01,6.73,0.0,38.53,34.38,0.01,7.41,0.0,41.8,15817234.9,3227146.6,0.0,0.0,0.0,0.0,2284984.9,0.0,0.0,9953972.6,88128.0,263002.8,2685071.7,0.0,0.0,499493.8,42581.1,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,27.4,547.7,0.0,547.4,12.0,2707.1,0.0,0.0,0.0,240.0,0.0,912.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,usa,2018,151758857.8,150402108.6,142882003.2,97264.1,136791921.2,97264.1,0.0,1259485.2,0.05,0.0749,0.15,26711.19,38518.6,0.0,0.0,326.8,358.9,800.2,377.3,56.1,34.9,0.17,6.56,0.0,41.64,37.82,0.19,7.41,0.0,45.42,171834586.3,13610187.6,92274786.0,44645327.7,0.0,41746.2,18162342.6,0.0,2552172.7,121038.6,0.0,342977.6,13454816.0,0.0,0.0,60330.3,95041.2,0.0,84007.2,0.0,264.8,79.1,12120.1,0.0,0.0,64.2,3385.5,0.0,10467.5,0.0,28.5,11582.4,269.5,0.0,29.6,0.0,4617.1,529.6,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
IN,usa,2018,111676313.1,110059705.8,104556720.4,35669.1,102755305.9,35669.1,0.0,1580938.2,0.05,0.0749,0.15,30862.91,23028.0,0.0,0.0,831.9,726.6,820.9,420.7,86.8,35.02,0.05,6.32,0.0,41.39,37.91,0.05,6.99,0.0,44.96,104432461.8,7304399.9,0.0,72323349.0,0.0,255091.8,23649324.4,0.0,202506.7,433300.7,0.0,233690.8,6746680.4,0.0,0.0,453076.5,104643.0,0.0,30798.6,0.0,40.0,53.2,15413.0,0.0,0.0,70.8,3749.0,0.0,3134.1,0.0,83.2,0.0,589.3,0.0,216.2,0.0,2308.8,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,usa,2018,44498517.9,44238151.6,42026244.0,0.0,24939244.1,0.0,0.0,260366.3,0.0499,0.0749,0.136,8006.29,10847.7,0.0,0.0,522.2,582.6,812.9,195.5,29.7,32.68,0.06,1.81,0.0,34.55,35.43,0.07,2.03,0.0,37.53,56900675.3,19298907.5,9909025.0,26059795.0,0.0,11398.4,1403178.3,0.0,178294.2,0.0,0.0,40077.0,19205623.5,0.0,0.0,11129.7,82154.3,0.0,0.0,0.0,0.0,9.0,4670.2,0.0,0.0,50.7,266.0,0.0,2615.8,0.0,0.0,1225.0,811.3,0.0,4.2,0.0,5355.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,usa,2018,91306750.3,90707017.9,86171667.0,7375.7,90627358.2,7375.7,0.0,592356.7,0.05,0.0749,0.15,31691.01,19370.2,0.0,0.0,890.1,912.8,820.8,439.3,66.8,35.9,0.05,6.47,0.0,42.43,38.88,0.06,7.21,0.0,46.15,75119875.6,79659.6,0.0,57333173.8,0.0,760.4,13063254.0,0.0,737931.5,3831942.2,0.0,66788.8,0.0,0.0,0.0,55159.0,24500.6,0.0,6365.2,0.0,8.0,15.2,11862.8,0.0,0.0,15.8,1763.0,0.0,4904.6,0.0,1082.5,0.0,6.0,0.0,26.3,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,usa,2018,102204658.8,101501466.9,96426393.6,0.0,101366656.0,0.0,0.0,703191.9,0.05,0.0749,0.1394,27269.56,22316.3,0.0,0.0,339.8,411.2,773.9,529.2,19.9,35.95,0.08,5.85,0.0,41.88,38.94,0.09,6.54,0.0,45.56,58633550.2,134810.8,17412995.6,2886884.1,0.0,3577544.7,33399055.1,0.0,188794.9,953306.5,0.0,80158.6,0.0,0.0,0.0,2649.3,132161.5,0.0,0.0,0.0,0.0,10.9,1685.7,0.0,0.0,88.0,4873.3,0.0,1412.5,0.0,192.0,2132.9,5732.4,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,usa,2018,63396835.7,61111184.1,58055624.9,1955782.4,56435397.9,14186.2,1941596.2,329869.2,0.05,0.0749,0.15,20067.87,14833.7,0.0,0.0,208.6,135.8,585.7,150.3,5.6,41.08,0.07,4.48,0.0,45.63,44.67,0.08,5.19,0.0,49.95,27897906.2,4675786.2,5341014.0,0.0,0.0,71537.4,13857790.2,0.0,8464.8,1089429.0,0.0,1244693.6,239292.6,0.0,0.0,1413569.8,3022923.8,1596996.8,12194.2,0.0,15.8,273.5,0.0,0.0,0.0,2168.1,6249.6,0.0,274.7,0.0,255.8,679.0,2168.1,1768.0,731.8,0.0,81.2,31.6,21216.0,0.0,0.0,0.14,0.0,0.06,0.0,0.0,0.0,0.16
MD,usa,2018,81294686.0,80554900.0,76527155.0,12988.5,78112059.9,12988.5,0.0,726797.5,0.05,0.0749,0.15,29586.6,19217.1,0.0,0.0,287.3,381.2,794.7,194.0,12.5,36.28,0.07,6.81,0.0,43.16,39.31,0.07,7.65,0.0,47.03,43522495.3,2442840.2,14089431.2,5072918.8,0.0,24245.9,19483339.2,0.0,26555.1,1837118.2,0.0,534838.4,611451.6,0.0,0.0,544242.1,1287146.4,0.0,11208.3,0.0,14.0,118.4,4267.0,0.0,0.0,862.4,2824.6,0.0,1838.1,0.0,590.5,1725.8,2496.7,0.0,265.5,0.0,190.0,28.0,0.0,0.0,0.0,0.18,0.0,0.01,0.0,0.0,0.0,0.0
ME,usa,2018,13300235.4,13254797.0,12592057.1,29104.7,9799452.5,29104.7,0.0,16333.7,0.05,0.075,0.15,12221.97,2244.1,0.0,0.0,82.0,86.0,564.5,191.0,1.3,40.41,0.07,1.93,0.0,42.41,43.73,0.07,2.11,0.0,45.92,15339313.6,3455344.5,0.0,0.0,0.0,3261.2,2969157.3,0.0,70.6,3895657.9,0.0,2151231.3,3373572.1,0.0,0.0,11612.8,70159.6,0.0,24907.6,2839683.2,32.4,301.2,0.0,0.0,0.0,50.7,1284.3,0.0,156.8,0.0,604.1,0.0,769.0,0.0,5.6,0.0,921.6,64.8,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0
MI,usa,2018,110113215.4,107613177.3,102232518.4,2165287.1,101684181.1,0.0,2165287.1,334750.9,0.05,0.0749,0.15,29666.82,25308.5,0.0,0.0,524.0,612.7,810.3,456.9,61.0,36.3,0.04,6.56,0.0,42.91,39.41,0.05,7.5,0.0,46.97,118695431.1,5928996.2,32425225.2,48787955.4,0.0,2309954.4,17153927.2,0.0,841822.5,1452479.6,0.0,1807527.7,5664019.2,0.0,0.0,200005.3,64971.8,1761874.0,0.0,6225668.8,0.0,295.9,8825.6,0.0,0.0,46.2,4420.8,0.0,3835.0,0.0,261.0,4122.2,2557.3,2152.0,97.2,0.0,1900.5,0.0,25824.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
MN,usa,2018,74774044.3,74212224.5,70501613.2,16319.2,59351434.9,16319.2,0.0,545500.8,0.05,0.0749,0.15,20284.95,15889.1,0.0,0.0,394.3,460.5,812.4,240.1,25.4,32.16,0.07,4.11,0.0,36.34,34.84,0.08,4.57,0.0,39.49,64504466.4,14860789.6,13295768.0,21466760.6,0.0,34213.1,6510526.8,0.0,361019.8,793137.8,0.0,1312376.2,12498992.3,0.0,0.0,1509791.0,852006.1,0.0,13994.8,5855879.7,24.0,229.0,3870.9,0.0,0.0,602.1,2055.0,0.0,2890.4,0.0,172.4,1657.0,643.0,0.0,732.9,0.0,3742.2,48.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.09,0.0,0.0
MO,usa,2018,96475304.1,94276674.1,89562840.4,1061389.4,90813005.7,0.0,1061389.4,1137240.6,0.05,0.0749,0.1482,21786.98,22912.5,0.0,0.0,816.3,788.5,784.4,266.5,65.0,33.82,0.12,4.91,0.0,38.85,36.74,0.13,5.55,0.0,42.42,80467355.7,3463668.4,8738170.0,61091892.6,0.0,34700.0,4990642.8,0.0,70746.7,1154681.2,0.0,70587.0,3088096.4,0.0,0.0,139995.3,235576.8,852266.8,0.0,0.0,0.0,15.5,10499.9,0.0,0.0,148.5,1813.1,0.0,3480.2,0.0,567.3,1190.0,1537.2,657.0,61.1,0.0,954.3,0.0,7884.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
