"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=00fvvvvvvvvv&endsec=2&linechart=ELEC.PRICE.CT-IND.A&columnchart=ELEC.PRICE.CT-IND.A&map=ELEC.PRICE.CT-IND.A&freq=A&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 21 2023 12:16:37 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,,,,,,,,,,,
"All sectors",,"ELEC.PRICE.US-ALL.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial",,"ELEC.PRICE.US-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : Vermont","cents per kilowatthour","ELEC.PRICE.VT-IND.A",7.89,7.90,8.05,7.96,7.77,8.33,8.92,9.19,9.21,9.53,9.83,9.98,10.84,10.23,10.27,10.23,10.21,10.66,11.05,11.20,11.38,12.11
"Industrial : Middle Atlantic",,"ELEC.PRICE.MAT-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : New Jersey","cents per kilowatthour","ELEC.PRICE.NJ-IND.A",8.33,7.72,7.99,9.03,9.76,10.42,10.08,12.54,11.89,11.81,11.43,10.52,10.80,11.38,10.64,10.16,10.12,10.07,10.16,10.01,10.70,12.44
"Industrial : New York","cents per kilowatthour","ELEC.PRICE.NY-IND.A",5.56,5.18,7.14,7.04,8.23,9.39,8.71,9.39,8.37,8.79,7.83,6.70,6.58,6.58,6.31,6.03,5.92,6.02,5.61,5.54,6.34,7.64
"Industrial : Pennsylvania","cents per kilowatthour","ELEC.PRICE.PA-IND.A",5.76,5.83,5.80,5.87,6.29,6.63,6.87,7.03,7.21,7.66,7.73,7.23,6.97,7.41,7.20,6.92,6.77,6.84,6.41,6.16,6.54,8.27
"Industrial : East North Central",,"ELEC.PRICE.ENC-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : Illinois","cents per kilowatthour","ELEC.PRICE.IL-IND.A",4.65,4.89,4.86,4.65,4.61,4.69,6.61,7.34,7.01,6.82,6.42,5.80,5.94,6.85,6.67,6.51,6.47,6.80,6.52,6.70,7.30,8.92
"Industrial : Indiana","cents per kilowatthour","ELEC.PRICE.IN-IND.A",4.11,3.95,3.92,4.13,4.42,4.95,4.89,5.46,5.81,5.87,6.17,6.34,6.70,6.97,6.86,6.97,7.54,7.38,7.36,6.98,7.39,8.93
"Industrial : Michigan","cents per kilowatthour","ELEC.PRICE.MI-IND.A",5.08,5.02,4.96,4.92,5.32,6.05,6.47,6.73,6.98,7.08,7.32,7.62,7.72,7.68,7.02,6.91,7.19,7.10,7.07,7.24,7.69,8.35
"Industrial : Ohio","cents per kilowatthour","ELEC.PRICE.OH-IND.A",4.27,4.87,4.79,4.89,5.10,5.61,5.76,6.20,6.72,6.40,6.12,6.24,6.22,6.77,7.02,6.98,6.92,7.01,6.55,6.16,6.55,7.75
"Industrial : Wisconsin","cents per kilowatthour","ELEC.PRICE.WI-IND.A",4.36,4.43,4.71,4.93,5.39,5.85,6.16,6.51,6.73,6.85,7.33,7.34,7.40,7.52,7.58,7.49,7.49,7.33,7.31,7.29,7.63,8.36
"Industrial : West North Central",,"ELEC.PRICE.WNC-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : Iowa","cents per kilowatthour","ELEC.PRICE.IA-IND.A",4.18,4.06,4.16,4.33,4.56,4.92,4.74,4.81,5.27,5.36,5.21,5.30,5.62,5.71,5.90,6.05,6.21,6.45,6.60,6.43,6.63,7.09
"Industrial : Kansas","cents per kilowatthour","ELEC.PRICE.KS-IND.A",4.55,4.53,4.61,4.69,4.85,5.20,5.13,5.69,6.10,6.23,6.71,7.09,7.39,7.80,7.61,7.49,7.54,7.60,7.35,7.30,7.38,8.57
"Industrial : Minnesota","cents per kilowatthour","ELEC.PRICE.MN-IND.A",4.34,4.07,4.36,4.63,5.02,5.29,5.69,5.87,6.26,6.29,6.47,6.54,6.98,6.72,7.02,7.37,7.37,7.52,7.53,7.67,8.29,9.19
"Industrial : Missouri","cents per kilowatthour","ELEC.PRICE.MO-IND.A",4.39,4.42,4.49,4.62,4.54,4.58,4.76,4.92,5.42,5.50,5.85,5.89,6.29,6.36,6.44,7.12,7.33,7.22,7.11,6.84,7.11,8.10
"Industrial : Nebraska","cents per kilowatthour","ELEC.PRICE.NE-IND.A",3.76,3.89,4.18,4.28,4.43,4.56,4.78,5.16,5.75,6.00,6.43,7.01,7.44,7.47,7.59,7.69,7.66,7.60,7.65,7.38,7.26,7.24
"Industrial : North Dakota","cents per kilowatthour","ELEC.PRICE.ND-IND.A",3.98,3.98,3.96,4.13,4.32,5.00,5.24,5.59,5.25,5.81,6.24,6.55,7.13,7.62,8.07,7.98,7.63,7.98,7.94,7.26,7.37,6.94
"Industrial : South Dakota","cents per kilowatthour","ELEC.PRICE.SD-IND.A",4.46,4.54,4.51,4.59,4.95,4.84,5.09,5.31,5.65,6.07,6.20,6.57,6.97,6.99,7.37,7.57,7.84,7.77,7.81,7.79,8.02,8.10
"Industrial : South Atlantic",,"ELEC.PRICE.SAT-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : Delaware","cents per kilowatthour","ELEC.PRICE.DE-IND.A",4.81,4.85,5.15,6.06,6.21,7.67,8.93,10.49,9.51,9.57,8.91,8.36,8.43,8.58,8.28,8.11,7.78,7.95,7.70,6.70,7.60,9.26
"Industrial : District Of Columbia","cents per kilowatthour","ELEC.PRICE.DC-IND.A",4.81,4.95,5.57,4.74,14.13,17.43,9.32,10.65,8.38,7.74,6.89,5.46,5.54,8.41,8.78,8.80,8.23,8.30,8.22,7.99,7.87,7.60
