P [kW],Q [kVA]
909,57.4
168,27
329,31.4
169,23.2
1080,68.8
473,42.6
1480,103
364,27.1
235,25.9
67.3,22.7
541,49
100,23.2
770,53.2
1100,67.8
1220,74.1
574,29.7
1340,79.8
1010,57
1210,72.3
1450,89.8
1470,90.1
1470,94.9
1510,105
1480,102
1500,103
1480,104
1500,106
1280,89.2
998,60.9
404,23.9
428,24.1
499,25.3
320,18
36.5,12
-8.3,18.5
-7.3,17
62,14.8
178,20.2
710,38
713,39.9
1090,68.3
1110,68
1040,64.7
649,40.8
106,16.3
35.9,16
203,17.8
427,23.9
294,19.1
754,43.7
1350,82
1420,86.3
1420,86.6
1240,72.6
1290,79.7
1480,95.5
1360,86.9
1020,62.1
1230,78.4
1430,87.1
1440,91.3
1490,97.6
1480,99.6
1460,97.4
1390,88.7
1200,71.5
1490,94.7
806,48.7
843,45.5
1120,64.4
146,17.7
79.6,19.1
510,38.1
1110,66.3
881,51.1
1000,62.8
753,40.9
245,17
861,59.7
1420,92.9
1240,76.3
731,40.2
123,16.1
203,14.2
308,17.1
184,14.8
46.3,14.2
13.3,18.6
251,27.1
1380,85.2
1460,94.9
1510,105
1480,102
1480,103
594,51.7
218,29.9
76.6,22.2
-7.4,16.8
-7.4,16.4
-7.8,17.3
-8.6,19.2
-8.7,19.2
-8,16.8
-8.1,17.1
-8,17.1
-8.1,17.9
-8.7,18.1
-8.1,17.4
-8.7,17.7
-8.3,17.3
-8.1,17.1
-8,16.9
-8,16.5
-8.1,16.3
-8.1,16.4
-8.9,18.1
-9.2,17.4
-9.6,18.8
-8.3,17.1
-6.3,15.9
-4.9,13.7
-5.4,14.3
-5.4,14.5
-5.8,14.9
-6.1,14.6
-5.6,14.3
59.7,20.1
297,23.4
129,17.9
472,34
336,27.9
449,33.2
844,49.8
680,35.8
429,25.9
638,31.5
783,44.2
875,45.3
808,42.7
218,22.5
216,24.4
126,20.7
69.1,20.4
477,40.3
67.4,20.5
-4.8,11
0.0000113,0.00000802
,
,
,
,
,
,
-8.3,13.2
-6,13.4
-5.3,15.1
-4.9,14.3
-4.9,14.2
-5.3,14.8
-5.3,14.2
-5,15.3
-4.5,13.9
-4.5,13.9
-4.6,14.3
-4.5,13.9
-4.8,14.6
-5.7,17.3
-5.5,17
-6.1,18.3
-6.1,17.9
-5.2,15
-4.6,14.3
-4.6,14
-4.3,12.7
-3.3,11.3
-4.4,12.1
-4.3,12.5
-5.3,12.6
-5.6,12.6
-6.5,14.3
-9.5,20.6
-9,20.8
-5.9,16.5
-5.3,15.8
144,292
488,757
657,821
784,826
825,831
694,824
604,823
609,823
640,756
307,617
86.6,415
-5.6,74.4
696,591
643,713
85.7,415
-8.4,18.7
1290,812
618,813
700,818
50.2,431
44.1,333
83,331
37.2,472
186,789
-9.7,19.5
15.6,114
87.7,796
171,798
135,782
-7.7,18
115,795
40.4,327
143,468
67.2,804
-6.5,191
23.3,377
-7.9,27.9
-7.9,17.5
-7.6,16.4
-8.6,17.9
156,611
254,803
73.6,798
52.1,471
23.5,392
5.72,226
42.4,636
25.5,625
38.3,800
49.3,662
32.8,668
4.5,558
-8.9,18.2
-7.5,15.9
-7.8,16.2
-3.5,376
-8.5,17.8
-8.4,17.1
-1.7,148
12,635
-7.9,35.7
-9.9,19.5
-8.8,17.4
30.8,286
98.9,499
-9.6,24
94,560
0.49,51.8
68.4,321
-8.7,19.6
810,595
1370,789
1260,857
800,822
-2.9,75.4
-8.6,20.2
-8.2,19.8
-8.6,20.3
239,634
482,811
832,833
1270,864
719,775
200,418
458,745
637,735
1160,856
1320,868
979,777
228,481
797,660
956,837
603,818
282,480
521,807
437,803
2.65,304
-6.2,44.4
-6.8,16.2
-7,16.6
-6.8,16.1
-7.2,16.8
-3.6,105
0.936,212
-8.6,19.7
786,778
13.1,228
-7.1,17.1
9.84,180
-7.2,16.9
-8.3,17.8
-9.2,18.8
29.1,372
-8.4,41.2
-9.5,22.5
118,156
944,836
495,676
683,772
115,487
802,777
1410,871
764,670
91.2,727
