Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NREL M2,0,Arvada,CO,US,39.91,-105.22,-7,1835,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,0,30,0,0,0,1.422,-1.9184,162.22,811.5607,-9.0338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,1,30,0,0,0,1.744,-1.1128,155.23,811.2671,-9.4165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,2,30,0,0,0,1.6688,-0.6089,144.99,810.7558,-10.5297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,3,30,0,0,0,2.0381,0.4487,133.74,810.2615,-11.8163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,4,30,0,0,0,4.5254,2.0424,122.25,809.9103,-13.2068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,30,0,0,0,3.9895,2.3039,110.89,809.7186,-15.2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,6,30,0,0,0,4.0337,2.1802,99.92,809.6558,-16.1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,7,30,0.9873,0.9873,0.82275,7.6415,3.6136,89.25,809.2957,-16.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
