Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NREL M2,0,Arvada,CO,US,39.91,-105.22,-7,1835,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,0,30,0,0,0,4.7011,6.504,162.25,802.2112,-7.5951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,1,30,0,0,0,6.96,6.8385,155.21,801.8118,-6.7951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,2,30,0,0,0,4.8901,6.8952,144.95,800.5604,-6.6204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,3,30,0,0,0,10.1594,7.658,133.69,799.4004,-6.1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,4,30,0,0,0,6.9588,7.9074,122.2,799.2349,-5.7326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,5,30,0,0,0,10.1301,6.9828,110.84,799.2952,-5.0959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,6,30,0,0,0,3.5467,6.887,99.88,798.7573,-4.9835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,7,30,0,0,0,3.5463,7.3735,89.24,798.7942,-4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
