P [kW],Q [kVA]
-0.0000053,0.000000366
-0.0000065,-0.0000017
-0.000023,0.00000195
-0.000029,-0.00000021
-0.000023,0.0000016
-0.000012,-0.000001
-0.000012,0.00000122
-0.0000037,-0.00000084
0.000000619,-0.0000028
-0.0000072,-0.00000061
0.00000803,-0.00000049
0.0000162,0.00000414
0.00000541,0.00000113
0.00000314,-0.0000022
0.0000011,0.00000182
-0.0000015,0.00000114
-0.0000025,-0.0000022
0.00000307,0.00000307
-0.0000048,0.000000451
0.00000757,0.00000294
-0.0000016,0.00000109
-0.000001,-0.00000022
-0.0000017,0.00000223
-0.0000024,0.000000338
-0.00000066,0.000000839
0.00000778,-0.0000013
-0.00001,-0.00000087
-0.0000066,0.000001
-0.0000062,0.00000206
-0.0000065,-0.000000034
0.00000909,-0.00000043
-0.00000076,0.00000223
0.0000124,0.0000024
0.00000993,0.00000288
0.0000258,0.00000132
0.0000382,0.000002
0.0000143,-0.0000011
0.00000771,-0.0000004
0.00000695,0.000000791
0.0000107,0.00000278
-0.0000029,-0.0000018
0.00000808,0.00000173
0.0000123,-0.0000008
-0.0000032,5.05E-08
-0.000029,-0.00000089
-0.00001,0.00000109
0.0000054,0.000000925
0.0000078,-0.000000066
0.00000643,0.00000053
0.0000058,0.000000803
0.00000305,0.000000134
0.00000478,0.000000157
0.00000377,-0.0000027
0.00000202,-0.000002
0.00000804,-0.00000088
0.00000941,-0.00000025
0.00000739,-0.00000032
0.00000539,0.00000115
0.00000445,-0.000000024
0.00000598,0.000000404
0.00000406,0.000000291
0.0000104,0.00000253
0.0000188,0.000000781
0.00000891,-0.00000045
0.0000129,-0.00000084
0.00000787,-0.00000097
-0.0000015,0.00000233
-0.0000077,0.00000303
0.00000598,0.000000538
-0.0000037,0.000000924
0.00000441,0.00000305
0.00000381,0.00000131
0.00000707,-0.00000095
0.903,-0.85
-4.4,-2.3
-0.81,-0.38
53.7,-3.5
174,-9.4
222,-15
241,-16
201,-15
247,-16
49.2,-4.9
0.0000199,-0.00000072
0.0000178,8.51E-08
0.0000259,0.00000234
0.00000848,0.0000018
-0.0000031,0.00000243
0.00000537,-0.00000039
0.00000813,0.00000297
0.0000263,-0.00000026
0.0000102,-0.00000096
0.00000641,0.000000312
0.00000621,0.000000465
0.00000552,-0.0000026
0.00000338,-0.000000079
0.00000475,-0.00000041
2.18,-0.63
81.5,-4
252,-9.6
117,-5.5
172,-6.9
0.00000301,0.00000193
0.000000632,-0.0000031
-0.0000032,-0.0000015
0.00000306,0.00000194
-0.00000094,-0.00000051
0.00000453,0.00000151
-0.0000031,0.00000104
-0.00000044,0.000000144
-0.0000035,-0.00000036
-0.0000012,0.000000152
-0.0000051,0.00000184
0.000000656,0.00000116
-0.0000034,0.00000152
0.00000557,0.00000219
0.00000299,0.00000209
-0.0000019,-0.00000095
-0.0000033,0.00000286
0.00000531,-0.00000047
0.00000491,0.00000113
0.00000404,0.000000044
-0.000019,-0.0000024
-0.000033,-0.0000028
-0.00001,-0.0000024
-0.000021,-0.0000015
-0.000013,0.000000992
-0.000013,0.00000228
0.0000135,0.00000204
0.0000244,-0.00000063
0.000012,0.000000663
0.0000176,0.000000171
0.0000163,0.00000137
-0.000002,0.000000778
-0.0000053,0.00000212
-0.0000048,0.000000355
-0.000017,-0.00000082
0.00000147,0.0000023
-0.0000011,0.00000136
-0.000013,-0.0000008
0.00000232,-0.0000022
0.00000114,-0.0000012
0.00000411,-0.00000036
-0.000022,-0.00000065
0.000023,0.00000383
-0.000021,-0.0000021
-0.0000075,0.00000265
-0.0000089,0.000000371
0.0000125,0.000000491
-0.00000028,-0.0000035
0.00000219,0.00000196
0.00000343,-0.00000055
-0.0000011,-0.00000088
0.00000707,0.00000117
-0.00000042,-0.0000021
0.00000472,-0.00000027
0.00000121,-0.00000066
0.00000948,0.000000871
0.00000531,-0.0000026
0.0000129,0.000000946
0.0000212,0.000000878
0.0000164,0.00000114
0.00000832,-0.0000022
-0.0000054,-0.0000018
0.000000435,-0.00000045
0.0000131,-0.00000015
0.0000176,-0.00000014
0.00000693,0.00000056
0.00000101,-0.0000015
48.1,-2.4
249,-9.7
229,-35
638,-560
878,-457
407,-330
168,-660
230,-345
498,-532
638,-427
232,-198
0.000013,-0.00000016
0.00000217,-0.00000073
0.0000048,0.00000115
-0.0000011,0.000000348
0.00000564,0.000000491
0.00000765,0.00000424
0.00000218,-0.00000021
0.00000906,0.000000398
0.0000115,0.000000387
0.00000208,0.00000132
0.00000322,-0.00000052
0.000018,-0.00000032
-0.0000053,3.21E-08
-0.0000017,-0.0000013
-0.000018,0.000000489
-0.000022,-0.000002
0.00000271,-0.0000016
-0.00000015,0.000000732
0.0000123,9.46E-08
0.00000361,0.00000203
-0.00000043,-0.0000015
-0.0000025,-0.0000026
0.000023,0.00000502
0.000045,0.00000122
0.0000279,0.00000162
-0.000000088,-0.00000059
-0.0000087,-0.000001
0.00000486,-0.00000047
0.0000116,-0.0000011
0.00000921,0.000000434
0.00000888,0.00000023
0.00000536,-0.000001
0.00000634,-0.00000032
0.00000879,0.000000944
0.00000633,0.00000182
0.0000112,0.00000075
0.00000851,-0.0000036
0.00000762,-0.000001
39.5,-4.1
-4.4,-2.1
-3.2,-1.6
-5.1,-2.6
-5.2,-2.6
330,172
420,-140
593,190
0.000021,0.0000023
0.0000261,8.54E-08
0.0000139,0.00000048
0.00000286,0.000000672
0.0000055,-0.0000023
0.0000047,0.00000132
0.00000676,-0.000001
0.00000733,-0.00000016
0.0000035,-0.00000094
0.00000719,-0.00000042
0.0000168,0.00000223
0.00000823,0.000000967
0.0000089,-0.00000077
0.00000172,0.00000088
0.0000132,-0.00000035
0.00000314,-0.00000055
0.00000888,-0.00000056
0.000001,-0.00000025
-0.0000048,0.00000146
-0.0000024,-0.00000023
22.1,-2.2
102,-4.5
-0.81,-0.93
21,25.1
26,28.4
-0.038,-0.048
0.0000185,-0.00000037
-0.000017,0.00000121
0.00000153,0.00000051
0.00000609,-0.000002
0.0000301,0.000000428
0.0000166,0.00000189
0.00000835,-0.00000088
0.0000114,-0.0000012
0.00000454,-0.0000004
0.00000869,-0.00000055
0.0000121,0.0000003
-0.0000055,0.00000118
0.0000106,-0.0000015
-1.7,-1.3
-0.000036,0.000000449
-0.000033,-0.0000015
-0.000022,-0.0000013
-0.00003,-0.0000026
-0.0000034,-0.000001
-0.0000024,-0.0000016
0.00000053,0.0000012
0.00000158,0.00000058
0.0000505,0.00000169
0.0000288,0.00000021
-0.000008,0.00000192
-0.000008,-0.00000029
-0.0000059,-0.00000012
0.00000234,0.00000148
-0.00000037,0.00000091
0.00000332,0.000000152
-0.0000018,0.00000273
0.00000471,-0.000001
0.00000776,-0.0000018
0.00000194,-0.0000017
0.00000167,-0.0000018
-0.0000016,0.000000258
-0.0000014,-0.0000018
-0.000000053,-0.00000074
-0.0000009,-0.00000023
4.92E-06,-0.00000033
-0.0000035,0.00000166
3.57E-08,0.000000404
0.000000897,-0.00000067
-0.000019,-0.0000021
-0.00001,-0.0000029
0.00000999,0.000000401
0.0000242,0.00000249
0.0000339,0.00000106
0.0000101,-0.00000033
-0.000003,-0.0000013
0.000000608,-0.00000047
-0.00000088,0.000000527
-0.0000079,0.000000638
-0.00000025,0.00000237
-0.0000058,0.00000157
-0.000024,-0.0000023
-0.000014,-0.00000093
-0.0000032,0.00000234
0.00000296,-0.0000014
-0.0000015,0.0000019
-0.0000014,-0.00000065
-0.0000062,-0.0000024
-0.000022,-0.00000082
-0.000032,-0.0000014
-0.0000068,0.00000139
0.000000293,0.000000313
-0.0000019,-0.0000012
0.00000222,0.000000725
-0.0000074,-0.00000034
0.000000328,0.000000569
0.0000156,0.00000356
0.0000428,0.000000569
0.0000159,-0.00000079
0.00000723,0.000000196
0.00000169,0.00000101
0.00000112,0.00000189
0.00000595,0.00000208
0.00000401,0.000000617
0.00000636,-0.000003
0.00000835,0.00000113
0.00000194,-0.0000011
0.00000259,-0.00000042
0.0000104,1.51E-08
0.00000122,0.00000241
0.0000213,-0.0000014
-0.0000035,-0.0000024
-0.000017,0.000000844
-0.0000071,-0.0000003
0.00000498,-0.000000068
0.0000017,0.000000839
-0.0000069,-0.0000014
-0.00000078,-0.00000055
0.00000304,-0.000005
0.000022,0.00000574
0.000031,0.00000179
0.0000443,0.00000122
0.0000159,0.00000154
-0.000011,-0.0000002
-0.00000058,0.000000286
0.00000962,0.00000249
0.0000265,0.000000319
0.0000247,-0.00000011
0.00000205,0.00000101
0.00000843,0.000000692
0.0000163,0.00000166
0.00000586,0.00000118
0.00000196,0.00000191
0.0000052,0.000000977
-0.000008,-0.000000064
0.0000106,0.000000948
-0.000023,-0.000000075
-0.000019,-0.0000018
0.00000271,0.000000128
-0.0000011,-0.00000023
0.00000798,0.000000312
0.00000974,0.00000159
-0.00000076,-0.0000019
0.00000262,-0.0000014
0.0000276,0.00000283
0.0000356,-0.00000045
0.00000668,-0.0000013
0.0000289,0.000000942
0.0000229,0.00000214
-0.00000092,-0.0000025
0.00000578,0.00000109
0.00000216,0.000000135
-0.0000044,-0.0000028
0.00000447,0.00000216
-0.000011,-0.0000021
-0.0000041,2.18E-08
0.00000466,-0.0000024
0.0000121,-0.0000014
0.00000221,-0.0000011
-0.54,17.5
308,231
257,180
43.4,64.9
413,-207
772,165
645,-439
116,-53
733,123
836,-211
53.1,-280
-0.13,-0.067
0.0000148,-0.00000019
0.0000251,0.000000781
0.0000259,0.00000395
0.00000502,9.65E-08
0.00000418,-0.0000018
0.0000104,-0.000000027
0.00000951,-0.000001
0.00000764,-0.00000085
0.0000114,0.00000297
0.0000137,0.00000316
0.0000149,0.0000015
0.00000108,0.00000007
5.12,-166
129,-559
475,-175
-4.4,38.6
323,181
19.8,135
82.5,-4.1
25.1,-3.1
0.493,59.6
-4.4,-3.1
-4.3,-2.7
-4.4,-2.9
-4.3,-2.7
-4.3,-2.6
-4.3,-2.7
-4.4,-2.8
-4.4,-2.9
-4.4,-2.9
-4.5,-3
-4.5,-2.9
-4.4,-2.9
-4.4,-2.8
-4.4,-2.7
-4.4,-2.6
-4.4,-2.7
-4.4,-2.6
-3.7,-2.9
-2.1,-3.3
-1.2,-2.7
-1.4,-3.4
-1.4,16.8
-1.8,0.564
-3.6,0.946
-4.3,-2.7
-4.3,-2.4
-4.3,-2.3
-4.3,-2.4
-4.4,-2.5
-4.4,-2.7
-4.5,-2.8
-4.5,-2.9
-4.5,-2.8
-4.5,-2.8
-4.5,-2.8
-4.5,-2.7
-4.4,-2.6
-4.4,-2.5
-4.4,-2.6
-4.4,-2.6
-3.5,32.4
0.383,60.2
5.83,79.1
16.2,78.2
42.4,60.4
101,26.6
102,-4.1
61.2,-3.6
12.4,-3.4
-4.2,-2.7
-4.5,-3
-4.5,-3
-4.4,-2.8
-4.5,-2.9
-4.4,-2.8
-4.3,-2.4
-4.4,-2.5
-4.4,-2.5
-4.3,-2.5
-4.3,-2.5
-4.3,-2.5
-4.3,-2.5
-4.4,-2.7
2.86,-3
35.6,-3.1
70,-3.7
95.2,-4.4
131,-4.6
165,-5.1
179,-5.5
166,-5.1
115,-4.3
35.2,-3.1
-3.9,-3.1
-4.3,-2.8
-4.4,-2.9
-4.4,-3
-4.4,-3
-4.4,-3
-4.4,-3.1
-4.4,-3.2
-4.5,-3.3
-4.5,-3.3
-4.5,-3.4
-4.5,-3.3
-4.4,-3.3
-4.4,-3.2
8.58,-3.7
33.9,-3.6
84.8,-4
51.9,-3.6
283,-11
402,-15
370,-13
311,-10
206,-5.9
62.5,-3.6
-3.5,-3.2
-4.3,-2.6
-4.3,-2.6
-4.3,-2.7
-4.3,-2.8
-4.4,-3
-4.4,-3.1
-4.4,-3.2
-4.5,-3.2
-4.5,-3.2
-4.5,-3.3
-4.5,-3.2
-4.4,-3.1
-4.4,-2.9
15.2,-3.5
132,24.3
187,88.4
84.8,-2.6
