Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
WaveWatchIII,0,Hawaii,21.76 N,157.9 W,0,-10,0,-,s,deg,s,deg,s,W/m,s,m,-,0,v1.10
wave height,wave period,Year,Month,Day,Hour,Minute,,,,,,,,,,,,,
1.595,16.065,2019,1,12,9,0,,,,,,,,,,,,,
1.72,23.415,2019,1,12,12,0,,,,,,,,,,,,,
2.065,22.08,2019,1,12,15,0,,,,,,,,,,,,,
2.575,20.69,2019,1,12,18,0,,,,,,,,,,,,,
3.065,19.615,2019,1,12,21,0,,,,,,,,,,,,,
3.455,18.83,2019,1,13,0,0,,,,,,,,,,,,,
3.71,18.295,2019,1,13,3,0,,,,,,,,,,,,,
3.755,17.87,2019,1,13,6,0,,,,,,,,,,,,,
3.67,17.68,2019,1,13,9,0,,,,,,,,,,,,,
3.51,17.43,2019,1,13,12,0,,,,,,,,,,,,,
3.31,17.035,2019,1,13,15,0,,,,,,,,,,,,,
3.095,16.68,2019,1,13,18,0,,,,,,,,,,,,,
2.88,16.435,2019,1,13,21,0,,,,,,,,,,,,,
2.695,16.175,2019,1,14,0,0,,,,,,,,,,,,,
2.54,15.88,2019,1,14,3,0,,,,,,,,,,,,,
2.445,15.705,2019,1,14,6,0,,,,,,,,,,,,,
2.435,15.665,2019,1,14,9,0,,,,,,,,,,,,,
2.475,15.595,2019,1,14,12,0,,,,,,,,,,,,,
2.565,15.465,2019,1,14,15,0,,,,,,,,,,,,,
2.65,15.435,2019,1,14,18,0,,,,,,,,,,,,,
2.695,15.4,2019,1,14,21,0,,,,,,,,,,,,,
2.71,15.295,2019,1,15,0,0,,,,,,,,,,,,,
2.715,15.225,2019,1,15,3,0,,,,,,,,,,,,,
2.72,15.205,2019,1,15,6,0,,,,,,,,,,,,,
2.725,15.325,2019,1,15,9,0,,,,,,,,,,,,,
2.745,15.495,2019,1,15,12,0,,,,,,,,,,,,,
2.785,15.66,2019,1,15,15,0,,,,,,,,,,,,,
2.865,16.365,2019,1,15,18,0,,,,,,,,,,,,,
2.98,17.085,2019,1,15,21,0,,,,,,,,,,,,,
3.03,16.56,2019,1,16,0,0,,,,,,,,,,,,,
3.015,16.285,2019,1,16,3,0,,,,,,,,,,,,,
2.9,15.985,2019,1,16,6,0,,,,,,,,,,,,,
2.75,15.615,2019,1,16,9,0,,,,,,,,,,,,,
2.59,15.385,2019,1,16,12,0,,,,,,,,,,,,,
2.455,15.205,2019,1,16,15,0,,,,,,,,,,,,,
2.335,14.875,2019,1,16,18,0,,,,,,,,,,,,,
2.24,14.5,2019,1,16,21,0,,,,,,,,,,,,,
2.165,14.295,2019,1,17,0,0,,,,,,,,,,,,,
2.095,14.06,2019,1,17,3,0,,,,,,,,,,,,,
2.01,13.705,2019,1,17,6,0,,,,,,,,,,,,,
1.925,13.47,2019,1,17,9,0,,,,,,,,,,,,,
1.845,13.375,2019,1,17,12,0,,,,,,,,,,,,,
1.765,13.27,2019,1,17,15,0,,,,,,,,,,,,,
1.655,13.04,2019,1,17,18,0,,,,,,,,,,,,,
1.595,12.715,2019,1,17,21,0,,,,,,,,,,,,,
1.595,12.585,2019,1,18,0,0,,,,,,,,,,,,,
1.755,12.37,2019,1,18,3,0,,,,,,,,,,,,,
2.115,11.915,2019,1,18,6,0,,,,,,,,,,,,,
2.275,11.55,2019,1,18,9,0,,,,,,,,,,,,,
2.27,11.33,2019,1,18,12,0,,,,,,,,,,,,,
2.305,11.215,2019,1,18,15,0,,,,,,,,,,,,,
2.415,11.3,2019,1,18,18,0,,,,,,,,,,,,,
2.455,11.36,2019,1,18,21,0,,,,,,,,,,,,,
2.4,11.26,2019,1,19,0,0,,,,,,,,,,,,,
2.325,11.075,2019,1,19,3,0,,,,,,,,,,,,,
2.225,10.91,2019,1,19,6,0,,,,,,,,,,,,,
2.155,10.805,2019,1,19,9,0,,,,,,,,,,,,,
2.09,10.735,2019,1,19,12,0,,,,,,,,,,,,,
2.025,10.645,2019,1,19,15,0,,,,,,,,,,,,,
1.995,10.585,2019,1,19,18,0,,,,,,,,,,,,,
1.975,10.605,2019,1,19,21,0,,,,,,,,,,,,,
1.945,10.7,2019,1,20,0,0,,,,,,,,,,,,,
1.895,10.775,2019,1,20,3,0,,,,,,,,,,,,,
1.855,10.745,2019,1,20,6,0,,,,,,,,,,,,,
1.815,10.605,2019,1,20,9,0,,,,,,,,,,,,,
1.76,10.44,2019,1,20,12,0,,,,,,,,,,,,,
1.705,10.32,2019,1,20,15,0,,,,,,,,,,,,,
1.675,10.23,2019,1,20,18,0,,,,,,,,,,,,,
1.665,10.095,2019,1,20,21,0,,,,,,,,,,,,,
1.625,9.93,2019,1,21,0,0,,,,,,,,,,,,,
1.54,9.845,2019,1,21,3,0,,,,,,,,,,,,,
1.46,9.83,2019,1,21,6,0,,,,,,,,,,,,,
1.4,11.225,2019,1,21,9,0,,,,,,,,,,,,,
1.375,13.455,2019,1,21,12,0,,,,,,,,,,,,,
1.365,13.115,2019,1,21,15,0,,,,,,,,,,,,,
1.39,13.44,2019,1,21,18,0,,,,,,,,,,,,,
1.445,14.305,2019,1,21,21,0,,,,,,,,,,,,,
1.485,13.785,2019,1,22,0,0,,,,,,,,,,,,,
1.5,13.155,2019,1,22,3,0,,,,,,,,,,,,,
1.545,12.715,2019,1,22,6,0,,,,,,,,,,,,,
1.62,12.31,2019,1,22,9,0,,,,,,,,,,,,,
1.705,11.895,2019,1,22,12,0,,,,,,,,,,,,,
1.78,12.425,2019,1,22,15,0,,,,,,,,,,,,,
1.865,13.55,2019,1,22,18,0,,,,,,,,,,,,,
1.945,13.175,2019,1,22,21,0,,,,,,,,,,,,,
2.03,13.635,2019,1,23,0,0,,,,,,,,,,,,,
2.14,14.99,2019,1,23,3,0,,,,,,,,,,,,,
2.3,14.915,2019,1,23,6,0,,,,,,,,,,,,,
2.48,14.895,2019,1,23,9,0,,,,,,,,,,,,,
